run,save,mode,frames,cpuMs,gpuMs,renderSampledMsPerFrame,processSampledMsPerFrame,renderRunningMsPerFrame,readyMsPerFrame,waitMsPerFrame,runningPct,readyPct,waitingPct,coverageErrorMs,coveragePassed,temporal_unionMsPerFrame,recoveryMsPerFrame,producer_poseMsPerFrame,readback_wrapperMsPerFrame,render_wrapperMsPerFrame,recovery_telemetryMsPerFrame,material_guard_unionMsPerFrame,retain_sceneMsPerFrame,retain_lightMsPerFrame,vendor_evaluateMsPerFrame,d3d_lock_executionMsPerFrame,leaf_skyrimMsPerFrame,leaf_csxMsPerFrame,leaf_nvidia_umMsPerFrame,relatch_serviceMsPerFrame,presentation_mutex_candidateMsPerFrame,sphere_AMsPerFrame,sphere_BMsPerFrame,compound_frustumMsPerFrame,job_wait_help_executionMsPerFrame,job_dispatchMsPerFrame,coverageStatus
Balanced 1,08,DLAA,600,4.766,9.27,12.61382666666668,29.922376666666622,12.585555499999455,0.054032666669219985,4.027857333333096,75.51333299999673,0.3241960000153199,24.16714399999858,0.4673000010625401,True,0.051741333333333334,0.0,0.0,0.05007466666666666,0.0016666666666666668,0.0,0.12841849999999996,0.013353333333333333,0.0116815,0.10671766666666666,0.0,6.101219499999992,1.6275251666666655,0.5527268333333333,0.0,0.0016666666666666668,0.035018833333333325,0.0,0.006672500000000001,0.0016681666666666665,0.0,PASS
Balanced 1,11,DLSS,1069,8.753,8.434,8.75025715622075,46.33727240411608,8.65502217025383,0.16296127221728496,0.5385253507949409,92.52218700001343,1.7420560000027763,5.756835999997918,2.1079000014124176,True,0.03504705332086062,0.0,0.0,0.033171842843779234,0.0018752104770813844,0.0,0.04979382600561272,0.023560056127221705,0.022620954162768943,0.1179173994387278,0.0,3.302311506080447,1.0181579981290922,0.6433370439663237,0.0,0.0,0.0,0.008595790458372311,0.003742376052385407,0.14996108512628623,0.02661927034611787,PASS
Balanced 1,09,DLAA,960,6.116,8.294,9.022193333333357,23.91992916666669,9.014260416663527,0.058621145830913456,1.3451272916680541,86.53689999996986,0.5627629999767692,12.91322200001332,1.2884999959951529,True,0.05250979166666665,0.0,0.0,0.05042635416666666,0.0020834375,0.0,0.11075635416666672,0.007306666666666667,0.007306666666666667,0.10841937500000003,0.0,2.865245833333332,1.1211034374999995,1.3191271874999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS
Balanced 1,12,DLSS,911,8.826,9.248,10.390633589462125,39.764741053787084,10.38487793633454,0.05527936336190312,0.5454904500600657,94.60623800000765,0.5035950002269374,4.969418000047199,7.925100028178349,False,0.031926015367727774,0.0,0.0,0.02856059275521405,0.0033654226125137215,0.0,0.05937958287596047,0.029745444566410532,0.028647749725576283,0.14391229418221743,0.0,4.738124588364434,1.0958969264544458,0.44028803512623477,0.0,0.0010981339187705818,0.0,0.1168032930845225,0.029770472008781558,0.34864270032930855,0.14860274423710207,PASS*
Balanced 1,10,DLAA,894,7.39,9.244,10.771903131991088,39.59175279642061,10.754279418347453,0.05401073828839866,0.3776488814349945,96.14325800002624,0.482856000298284,3.3761810000288506,0.22950003533696872,True,0.00894351230425056,0.0,0.0,0.007824384787472036,0.0011191275167785233,0.0,0.16553903803131984,0.008946868008948545,0.008946868008948545,0.13316185682326623,0.0,4.5616784116331,1.448345190156601,0.45119306487695743,0.0,0.0,0.0,0.0,0.0,0.0011185682326621924,0.0,PASS
Balanced 1,13,DLSS,584,13.41,12.322,16.323061472602777,43.04909160958904,16.271898287670176,0.04886592467381536,0.8044743150774271,95.02788599999383,0.2853770000950817,4.698130000052174,1.1393000141088123,True,0.005136301369863014,0.0,0.0,0.0,0.005136301369863014,0.0,0.0995544520547945,0.015420205479452054,0.015420205479452054,0.1370563356164384,0.0,7.843779794520552,2.180115068493149,0.639685616438356,0.0,0.0017131849315068493,0.0,0.4396467465753424,0.11522722602739728,0.36088972602739744,0.17168099315068486,PASS
Performance,08,DLAA,599,5.291,9.642,13.797611853088465,49.187521869783026,13.823393155259964,0.09875358931576242,2.7726133555922288,82.80212500000718,0.5915340000014169,16.607953999997452,0.161300000605479,True,0.056881969949916525,0.0,0.0,0.05349015025041736,0.003391819699499165,0.0,0.11711836393989984,0.015101502504173622,0.015101502504173622,0.11858981636060101,0.0,6.567497829716182,1.656655926544239,0.6718951585976627,0.0,0.0016702838063439064,0.030055759599332214,0.0,0.00667779632721202,0.0,0.0,PASS
Performance,11,DLSS,989,8.603,8.721,9.21811496461072,53.353102527806286,9.164119514664927,0.31214954500081693,0.6368381193116001,90.63314200003613,3.0871590000580795,6.298328999991725,1.8630000085940992,True,0.02861445904954499,0.0,0.0,0.027603336703741155,0.0010111223458038423,0.0,0.05557512639029325,0.019358139534883724,0.01733589484327604,0.13556491405460064,0.0,3.5116719919110153,1.1158086956521729,0.4552220424671381,0.0,0.0,0.0,0.013303842264914054,0.0010900910010111225,0.1420593528816987,0.023456825075834173,PASS
Performance,09,DLAA,883,5.849,8.601,9.518748810872022,25.834849490373642,9.506927066817534,0.06385141562606,1.7545869762193704,83.94616599999883,0.5638079999781098,15.49300300001704,0.2976999993989011,True,0.05922355605889015,0.0,0.0,0.054693544733861836,0.004530011325028313,0.0,0.08522729331823328,0.007989354473386185,0.006792298980747452,0.1359229898074745,0.0,3.1668392978482474,1.150602265005663,1.3649575311438282,0.0,0.004529784824462061,0.0,0.0,0.0,0.0,0.0,PASS
Performance,12,DLSS,876,8.412,9.198,10.805284018264853,37.75099942922386,10.759658904112548,0.06333710047925803,0.5987989726081437,94.25461200002592,0.5548330001983004,5.2454790000473395,5.492400027156691,False,0.035515296803652965,0.0,0.0,0.03437294520547945,0.001142351598173516,0.0,0.04809977168949773,0.027413926940639266,0.025130821917808216,0.150883105022831,0.0,4.841207077625575,1.1197202054794522,0.6557942922374425,0.0,0.0011484018264840182,0.0,0.13327248858447488,0.02421986301369863,0.3598063926940637,0.13878698630136985,REVIEW_REQUIRED
Performance,10,DLAA,883,7.066,9.261,10.848918006795024,42.47437984144953,10.819479161944631,0.1258419026319979,0.3824055492687471,95.5360009999711,1.1111840002405415,3.376641000043037,2.3826000254666724,True,0.03960328425821064,0.0,0.0,0.03733567383918458,0.0022676104190260476,0.0,0.13027112117780296,0.014798980747451868,0.013666138165345412,0.11781121177802947,0.0,4.617501812004545,1.4212107587768965,0.5337168742921857,0.0,0.0011325028312570782,0.0,0.0,0.0,0.0,0.0,PASS
Performance,13,DLSS,556,17.565,13.288,17.526277517985484,48.86275377697849,17.467821942445696,0.04771996404930005,0.47155521583169385,97.12108999999806,0.26532300011410825,2.6218470000242178,0.8260000136378949,True,0.008998561151079137,0.0,0.0,0.003600179856115108,0.005398381294964029,0.0,0.15304046762589932,0.023408812949640288,0.021608812949640288,0.17635377697841728,0.0,8.376193345323756,2.362724820143887,0.6951622302158273,0.0,0.001798021582733813,0.0,0.5400561151079141,0.12111492805755396,0.30453723021582724,0.12062643884892088,PASS
Legacy,08,DLAA,599,5.477,9.652,14.058443071786268,50.98762053422366,14.157947078464305,0.12973188647820352,2.406963606009494,84.80610300000119,0.7770940000044391,14.417711999996868,0.09090000024843903,True,0.0418330550918197,0.0,0.0,0.0418330550918197,0.0,0.0,0.11517879799666111,0.028463272120200337,0.026793823038397332,0.13192654424040065,0.0,6.722935726210365,1.7103891485809697,0.6188752921535894,0.0,0.0,0.028363439065108513,0.0,0.006672787979966611,0.0,0.0,PASS
Legacy,11,DLSS,966,8.687,8.758,9.662237163561045,51.49147732919247,9.566913354036725,0.17276097309032584,0.6141838509296361,92.41638299999477,1.6688710000525475,5.9330159999802845,1.827000002760542,True,0.03972453416149068,0.0,0.0,0.036513975155279495,0.0032105590062111804,0.0,0.05189741200828159,0.02390393374741201,0.02286873706004141,0.1657923395445134,0.0,3.5544874741200814,1.2103429606625256,0.6599788819875774,0.0,0.0010350931677018634,0.0,0.006211180124223602,0.0010351966873706005,0.1526204968944099,0.016863768115942028,PASS
Legacy,09,DLAA,878,5.804,8.576,9.402257744874705,25.414781776765352,9.453734851935767,0.0622706150329396,1.8760576309802315,83.00379199999603,0.5467359999892096,16.471786000006432,2.231399999167479,True,0.05275296127562642,0.0,0.0,0.050475626423690204,0.0022773348519362184,0.0,0.09344999999999999,0.007968109339407746,0.007968109339407746,0.13788826879271074,0.0,3.0541266514806393,1.1685380410022779,1.414898519362186,0.0,0.002278018223234624,0.0,0.0,0.0,0.0,0.0,PASS
Legacy,12,DLSS,870,8.467,9.25,11.006781264367778,39.324432988505706,11.025635977010639,0.0640434483048351,0.41092551724483234,95.92303299999256,0.5571780002520654,3.575052000030041,5.526300027466277,False,0.043801839080459766,0.0,0.0,0.036836551724137925,0.006965287356321838,0.0,0.06802149425287356,0.02086873563218391,0.018568045977011498,0.14607229885057463,0.0,4.950923908045982,1.1904990804597695,0.6735587356321846,0.0,0.0011496551724137932,0.0,0.16093816091954022,0.024175977011494255,0.38621068965517247,0.14084999999999998,REVIEW_REQUIRED
