run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R1,13,DLSS,gpuTailP99Ms,18.8,0.3000000000000007,6.596
Current R2,13,DLSS,gpuTailP99Ms,17.14,-1.3599999999999994,4.936
Current interrupted,13,DLSS,gpuTailP99Ms,,,
Current R3,13,DLSS,gpuTailP99Ms,18.1,-0.3999999999999986,5.896000000000001
Current R1,13,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,0.9,0.4,-3.5000000000000004
Current R2,13,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,0.3,-0.2,-4.1000000000000005
Current interrupted,13,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,,,
Current R3,13,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,0.5,0.0,-3.9000000000000004
Current R1,13,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,6.3,0.39999999999999947,5.7
Current R2,13,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,5.5,-0.40000000000000036,4.9
Current interrupted,13,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,,,
Current R3,13,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,7.0,1.0999999999999996,6.4
Current R1,13,DLSS,cpuSpikeGroups.frequencyPerSecond,5.2,1.5,-1.8999999999999995
Current R2,13,DLSS,cpuSpikeGroups.frequencyPerSecond,1.7,-2.0,-5.3999999999999995
Current interrupted,13,DLSS,cpuSpikeGroups.frequencyPerSecond,,,
Current R3,13,DLSS,cpuSpikeGroups.frequencyPerSecond,4.6,0.8999999999999995,-2.5
Current R1,13,DLSS,gpuSpikeGroups.frequencyPerSecond,7.3,0.8999999999999995,6.6
Current R2,13,DLSS,gpuSpikeGroups.frequencyPerSecond,5.6,-0.8000000000000007,4.8999999999999995
Current interrupted,13,DLSS,gpuSpikeGroups.frequencyPerSecond,,,
Current R3,13,DLSS,gpuSpikeGroups.frequencyPerSecond,7.7,1.2999999999999998,7.0
Current R1,13,DLSS,cpuSpikeGroups.dutyPercent,37.39,1.2000000000000028,18.69
Current R2,13,DLSS,cpuSpikeGroups.dutyPercent,39.93,3.740000000000002,21.23
Current interrupted,13,DLSS,cpuSpikeGroups.dutyPercent,,,
Current R3,13,DLSS,cpuSpikeGroups.dutyPercent,35.66,-0.5300000000000011,16.959999999999997
Current R1,13,DLSS,gpuSpikeGroups.dutyPercent,16.7,4.3199999999999985,15.36
Current R2,13,DLSS,gpuSpikeGroups.dutyPercent,9.81,-2.5700000000000003,8.47
Current interrupted,13,DLSS,gpuSpikeGroups.dutyPercent,,,
Current R3,13,DLSS,gpuSpikeGroups.dutyPercent,15.77,3.389999999999999,14.43
Current R1,13,DLSS,cpuSpikeGroups.maxGroupSamples,13.0,-1.0,8.0
Current R2,13,DLSS,cpuSpikeGroups.maxGroupSamples,79.0,65.0,74.0
Current interrupted,13,DLSS,cpuSpikeGroups.maxGroupSamples,,,
Current R3,13,DLSS,cpuSpikeGroups.maxGroupSamples,13.0,-1.0,8.0
Current R1,13,DLSS,gpuSpikeGroups.maxGroupSamples,5.0,3.0,3.0
Current R2,13,DLSS,gpuSpikeGroups.maxGroupSamples,2.0,0.0,0.0
Current interrupted,13,DLSS,gpuSpikeGroups.maxGroupSamples,,,
Current R3,13,DLSS,gpuSpikeGroups.maxGroupSamples,5.0,3.0,3.0
